symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2026-01-18T18:15:00,2026-01-18T20:00:00,3367.273345,3343.73,0.11879047,100.0,4.0,-3.11560644,-0.03115606,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-19T18:15:00,2026-01-19T19:00:00,3205.853995,3220.6,0.12436304,99.67243936,4.0,-2.1535434,-0.02160621,3,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2026-01-19T23:00:00,2026-01-20T01:15:00,3171.236,3197.58,0.12542887,99.44113743,4.0,-3.62383152,-0.03644198,9,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-20T17:30:00,2026-01-20T20:15:00,89553.477985,89768.57,0.00442475,99.06284369,4.0,-1.26910928,-0.01281115,11,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-20T23:00:00,2026-01-21T00:45:00,2939.28445,2960.0,0.13461791,98.92008271,4.0,-3.10634379,-0.03140256,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-21T11:45:00,2026-01-21T14:00:00,2938.5855,2974.01,0.13420555,98.59362112,4.0,-5.07156577,-0.05143909,9,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-21T17:00:00,2026-01-21T19:15:00,87192.065425,89646.66,0.00449906,98.07068956,4.0,-11.36162377,-0.11585137,9,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-01-25T17:00:00,2026-01-25T21:30:00,2879.53421,2808.56,0.13463127,96.91883587,4.0,9.24902979,0.09543067,18,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-27T17:00:00,2026-01-27T17:30:00,2964.349865,2921.96,0.13200632,97.82823184,4.0,-5.90654228,-0.06037666,2,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2026-01-28T11:45:00,2026-01-28T14:30:00,90215.12,89710.71,0.00431067,97.22192509,4.0,-2.48458597,-0.02555582,11,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-28T20:15:00,2026-01-28T20:30:00,3036.558015,3014.04,0.12772081,96.95791099,4.0,-3.18513398,-0.03285069,1,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-01-29T11:15:00,2026-01-29T12:45:00,2920.163175,2936.34,0.13235409,96.62388432,4.0,-2.4511218,-0.02536766,6,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-30T17:00:00,2026-01-30T18:45:00,2708.581025,2740.27,0.14230818,96.36331232,4.0,-4.81976695,-0.05001662,7,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-31T17:00:00,2026-01-31T20:45:00,78728.499845,77999.03,0.00487071,95.86591749,4.0,3.24768615,0.03387738,15,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-01T11:00:00,2026-02-01T11:30:00,2389.959675,2420.12,0.16096564,96.17534756,4.0,-5.16447906,-0.05369857,2,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-02-01T20:15:00,2026-02-01T22:00:00,76573.70689,77491.44,0.00499615,95.6435116,4.0,-4.89302941,-0.05115903,7,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-02-01T23:00:00,2026-02-02T00:15:00,2256.17066,2313.93,0.16867324,95.1389057,4.0,-10.05079669,-0.10564339,5,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-02-03T17:00:00,2026-02-03T19:45:00,2218.676985,2205.28,0.16968419,94.1186038,4.0,1.97298637,0.02096277,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-04T11:00:00,2026-02-04T12:45:00,75703.63396,76180.85,0.00498263,94.30084346,4.0,-2.68050588,-0.02842505,7,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-04T17:15:00,2026-02-04T18:30:00,72364.84966,74002.0,0.00519687,94.01770474,4.0,-8.81231969,-0.09373043,5,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-05T11:00:00,2026-02-05T14:30:00,2084.598405,2086.35,0.17868464,93.12142994,4.0,-0.61109689,-0.00656237,14,STOP_MACD,EMA_MACD,False
ETHUSDT,SHORT,2026-02-05T20:45:00,2026-02-05T22:30:00,1866.785615,1875.18,0.19937034,93.04542082,4.0,-1.97200618,-0.02119402,7,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-06T17:15:00,2026-02-06T18:45:00,2073.094985,2044.61,0.17912027,92.83333294,4.0,-5.39726395,-0.05813929,6,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-02-06T23:00:00,2026-02-07T00:30:00,71228.30243,69734.97,0.00518214,92.27875321,4.0,-8.0308538,-0.0870282,6,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2026-02-07T17:30:00,2026-02-07T21:45:00,2071.452525,2100.42,0.17661212,91.46090323,4.0,4.82128575,0.05271417,17,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-08T19:30:00,2026-02-08T20:45:00,2122.59913,2104.59,0.17323742,91.92839806,4.0,-3.41277811,-0.03712431,5,STOP_EMA30,EMA_MACD,False
BTCUSDT,LONG,2026-02-08T23:00:00,2026-02-08T23:15:00,71473.049,70514.0,0.00512486,91.5724117,4.0,-5.20606129,-0.05685185,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2026-02-09T18:00:00,2026-02-09T20:30:00,2129.359255,2129.37,0.17101324,91.03715399,4.0,-0.28948209,-0.00317982,10,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-10T11:30:00,2026-02-10T13:15:00,68563.410385,68734.86,0.00530858,90.99363983,4.0,-1.20169823,-0.0132064,7,STOP_MACD,EMA_BB,False
