symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,SHORT,2025-11-17T18:15:00,2025-11-17T21:00:00,3023.6577,3020.34,0.15874813,120.0,4.0,0.14288934,0.00119074,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-11-20T17:00:00,2025-11-20T19:45:00,86919.34512,86921.28,0.00552209,119.99410672,4.0,-0.39467,-0.00328908,11,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-11-21T12:15:00,2025-11-21T12:30:00,2635.0415,2728.95,0.18204451,119.92370745,4.0,-17.48612063,-0.14581037,1,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-11-21T23:00:00,2025-11-21T23:15:00,2726.434205,2761.0,0.17282991,117.80234763,4.0,-6.35336051,-0.05393238,1,STOP_EMA30,EMA_MACD,False
BTCUSDT,LONG,2025-11-23T19:30:00,2025-11-23T23:00:00,87762.78701,87332.0,0.00533335,117.01732631,4.0,-2.67107259,-0.0228263,14,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-11-24T17:15:00,2025-11-24T21:00:00,2920.003445,2968.21,0.15982766,116.67433028,4.0,7.32830118,0.06280988,15,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-11-25T23:00:00,2025-11-26T01:00:00,2981.32529,2952.62,0.15769004,117.53132495,4.0,-4.90082791,-0.04169806,8,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-11-26T18:00:00,2025-11-26T20:30:00,3043.207975,3011.39,0.1536808,116.92065958,4.0,-5.26200206,-0.0450049,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-11-27T17:00:00,2025-11-27T20:15:00,91607.896035,91429.56,0.00507671,116.26677057,4.0,-1.27705256,-0.01098381,13,STOP_MACD,EMA_MACD,False
ETHUSDT,SHORT,2025-11-29T17:45:00,2025-11-29T19:00:00,2965.52503,2997.62,0.15658772,116.09120104,4.0,-5.3991803,-0.04650809,5,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2025-12-01T12:00:00,2025-12-01T14:00:00,85754.365215,86237.47,0.0053838,115.4210099,4.0,-2.97132539,-0.02574337,8,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-12-03T18:00:00,2025-12-03T18:45:00,93561.181575,92623.86,0.00491838,115.04229002,4.0,-4.97639213,-0.04325707,3,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2025-12-03T23:00:00,2025-12-04T02:15:00,3197.178585,3213.19,0.14315501,114.42303484,4.0,1.92504375,0.01682392,13,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-12-04T19:00:00,2025-12-04T20:15:00,91152.40599,92000.01,0.00503035,114.63207087,4.0,-4.63227089,-0.0404099,5,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-05T17:00:00,2025-12-05T19:30:00,3010.287785,3030.39,0.15155254,114.054189,4.0,-3.41273374,-0.02992204,10,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-12-06T19:00:00,2025-12-07T00:30:00,89352.9692,89506.0,0.00508647,113.62276255,4.0,-1.14229052,-0.01005336,22,STOP_EMA30,EMA_MACD,False
BTCUSDT,LONG,2025-12-07T18:00:00,2025-12-07T20:45:00,91464.981985,91439.04,0.00496207,113.46387212,4.0,-0.4917588,-0.00433406,11,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-12-09T17:00:00,2025-12-09T19:00:00,94364.61492,93931.41,0.00480617,113.383076,4.0,-2.44404916,-0.02155568,8,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-12-10T17:15:00,2025-12-10T20:45:00,3374.0535,3355.44,0.13404413,113.06802055,4.0,-2.85585016,-0.02525781,14,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2025-12-13T12:30:00,2025-12-13T17:45:00,90159.5575,90052.61,0.00500018,112.70360947,4.0,0.1743196,0.00154671,21,STOP_MACD,EMA_MACD,False
BTCUSDT,SHORT,2025-12-14T11:15:00,2025-12-14T14:00:00,89380.577725,89350.85,0.00504373,112.70288873,4.0,-0.21065063,-0.00186908,11,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-14T23:30:00,2025-12-15T00:45:00,3052.91375,3074.72,0.14760453,112.6559717,4.0,-3.58048778,-0.03178249,5,STOP_MACD,EMA_BB,False
