symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2025-12-20T20:30:00,2025-12-20T21:45:00,2987.0739,2978.9,0.13391031,100.0,4.0,-1.41413168,-0.01414132,5,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2025-12-21T09:00:00,2025-12-21T11:30:00,2996.598165,2996.52,0.13327458,99.84258683,4.0,-0.32990952,-0.0033043,10,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-12-22T00:00:00,2025-12-22T02:00:00,3050.1684,2994.04,0.13086965,99.79362107,4.0,-7.66190569,-0.07677751,8,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-12-22T08:15:00,2025-12-22T08:45:00,3055.706695,3027.84,0.1296086,99.01146352,4.0,-3.92715519,-0.03966364,2,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-22T20:00:00,2025-12-22T21:45:00,2973.942385,2988.68,0.13262248,98.60290616,4.0,-2.27085022,-0.02303026,7,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-12-23T06:00:00,2025-12-23T08:00:00,87408.69,87597.37,0.00450116,98.36004468,4.0,-1.16437003,-0.01183784,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-26T00:00:00,2025-12-26T01:30:00,2901.291525,2919.01,0.1354264,98.22787007,4.0,-2.71483837,-0.02763817,6,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-12-31T12:00:00,2025-12-31T15:00:00,3001.17502,2980.13,0.13053643,97.94066977,4.0,-3.05945311,-0.03123782,12,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2026-01-01T23:15:00,2026-01-02T01:30:00,3009.397335,3000.68,0.1297523,97.61905395,4.0,-1.44302277,-0.01478218,9,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-02T09:00:00,2026-01-02T11:30:00,3045.78183,3049.18,0.12799227,97.45913263,4.0,0.12289629,0.001261,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-01-02T17:00:00,2026-01-02T18:45:00,90762.9405,89773.1,0.00429496,97.4558288,4.0,-4.56148474,-0.04680566,7,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2026-01-03T18:15:00,2026-01-03T20:00:00,3120.81421,3108.29,0.12430613,96.98408739,4.0,-1.86656247,-0.01924607,7,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2026-01-04T00:00:00,2026-01-04T02:30:00,91537.089985,91163.52,0.00422919,96.78191369,4.0,-1.88896824,-0.01951778,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-01-05T00:00:00,2026-01-05T03:45:00,92033.193025,92878.22,0.00419751,96.57753176,4.0,3.23654116,0.03351236,15,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-01-05T11:00:00,2026-01-05T12:30:00,93031.808705,92816.91,0.0041657,96.88573347,4.0,-1.20488056,-0.0124361,6,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-05T17:45:00,2026-01-05T21:45:00,3218.20007,3238.32,0.12025324,96.7497437,4.0,2.10891973,0.02179768,16,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-06T06:30:00,2026-01-06T07:15:00,3252.741805,3221.4,0.11921654,96.94515571,4.0,-4.04519146,-0.0417266,3,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-06T18:00:00,2026-01-06T20:00:00,91689.35935,92424.97,0.00421096,96.52512534,4.0,-3.4077487,-0.03530427,8,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-07T09:00:00,2026-01-07T11:30:00,92148.379785,92194.69,0.00417452,96.16890645,4.0,-0.50114094,-0.00521105,10,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-07T19:00:00,2026-01-07T19:45:00,90651.15899,91186.07,0.00424058,96.10340533,4.0,-2.57677193,-0.02681249,3,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-08T06:15:00,2026-01-08T08:15:00,3113.10333,3133.8,0.1231316,95.83035159,4.0,-2.85609066,-0.02980361,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-08T20:15:00,2026-01-08T21:00:00,3090.45735,3113.02,0.12364437,95.52940967,4.0,-3.09655456,-0.03241467,3,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2026-01-09T08:00:00,2026-01-09T11:15:00,3103.7374,3100.22,0.12269655,95.20446951,4.0,0.12709118,0.00133493,13,STOP_MACD,EMA_MACD,False
ETHUSDT,LONG,2026-01-13T23:00:00,2026-01-14T01:00:00,3341.46469,3334.17,0.11396433,95.20194591,4.0,-1.13564815,-0.01192883,8,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-15T08:00:00,2026-01-15T11:45:00,3329.66702,3349.96,0.1142134,95.07314879,4.0,2.0125691,0.02116864,15,STOP_MACD,EMA_MACD,False
BTCUSDT,LONG,2026-01-15T17:30:00,2026-01-15T18:00:00,97098.8301,96258.36,0.00392422,95.25919399,4.0,-3.6016963,-0.03780943,2,STOP_EMA30,EMA_MACD,False
