symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2026-01-18T18:15:00,2026-01-18T20:00:00,3367.273345,3343.73,0.14254857,120.0,4.0,-3.73872773,-0.03115606,7,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-19T00:00:00,2026-01-19T03:15:00,92309.937085,92548.12,0.00517943,119.52831267,4.0,-1.61663681,-0.01352514,13,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-19T18:15:00,2026-01-19T19:00:00,3205.853995,3220.6,0.14886688,119.31136682,4.0,-2.57786614,-0.02160621,3,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2026-01-19T23:00:00,2026-01-20T01:15:00,92303.566655,92857.18,0.00515599,118.9791151,4.0,-3.23630097,-0.02720058,9,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-01-20T06:15:00,2026-01-20T10:15:00,3136.98745,3108.48,0.15118698,118.56791499,4.0,3.93226194,0.03316464,16,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-20T17:30:00,2026-01-20T20:15:00,89553.477985,89768.57,0.00531602,119.01702139,4.0,-1.52474531,-0.01281115,11,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-20T23:00:00,2026-01-21T00:45:00,2939.28445,2960.0,0.16168724,118.81120068,4.0,-3.73097581,-0.03140256,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-21T08:30:00,2026-01-21T11:15:00,2954.990855,2968.71,0.16019091,118.34067183,4.0,-2.57725161,-0.02177824,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-21T17:00:00,2026-01-21T19:15:00,87192.065425,89646.66,0.00541373,118.00868023,4.0,-13.67146731,-0.11585137,9,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-01-23T07:00:00,2026-01-23T11:00:00,2937.397285,2939.16,0.15843338,116.34544649,4.0,-0.65169004,-0.00560134,16,STOP_MACD,EMA_MACD+EMA_BB,False
BTCUSDT,SHORT,2026-01-25T08:30:00,2026-01-25T10:15:00,88184.54447,88625.7,0.0052728,116.24490536,4.0,-2.6990398,-0.02321856,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-25T17:00:00,2026-01-25T21:30:00,2879.53421,2808.56,0.16099646,115.89870156,4.0,11.06029116,0.09543067,18,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-01-27T07:15:00,2026-01-27T07:30:00,88657.497065,88451.84,0.00528793,117.20368395,4.0,-1.46211718,-0.01247501,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2026-01-27T17:00:00,2026-01-27T17:30:00,2964.349865,2921.96,0.15788383,117.00572678,4.0,-7.06441545,-0.06037666,2,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2026-01-28T09:45:00,2026-01-28T14:30:00,89701.600875,89710.71,0.00517875,116.13553182,4.0,-0.32447869,-0.00279397,19,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-28T20:15:00,2026-01-28T20:30:00,3036.558015,3014.04,0.15290246,116.07429636,4.0,-3.81312038,-0.03285069,1,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-01-30T06:30:00,2026-01-30T07:00:00,2703.089275,2745.81,0.1710553,115.59443565,4.0,-7.6804316,-0.06644292,2,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-30T17:00:00,2026-01-30T18:45:00,2708.581025,2740.27,0.16931462,114.65058972,4.0,-5.73443472,-0.05001662,7,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-01-31T07:30:00,2026-01-31T10:45:00,2671.02744,2651.67,0.17063163,113.94044465,4.0,2.93970341,0.02580035,13,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-31T17:00:00,2026-01-31T20:45:00,78728.499845,77999.03,0.00580584,114.27133249,4.0,3.87121339,0.03387738,15,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-01T06:00:00,2026-02-01T08:30:00,78593.183125,78863.0,0.00583837,114.713938,4.0,-1.94300433,-0.01693782,10,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2026-02-01T20:15:00,2026-02-01T22:00:00,76573.70689,77491.44,0.00597901,114.4587524,4.0,-5.85559891,-0.05115903,7,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-02-01T23:00:00,2026-02-02T00:15:00,2256.17066,2313.93,0.20164096,113.73410445,4.0,-12.01525656,-0.10564339,5,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2026-02-03T07:30:00,2026-02-03T08:00:00,78958.249985,78488.66,0.00568758,112.27043672,4.0,-3.02902995,-0.02697976,2,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2026-02-03T09:00:00,2026-02-03T12:15:00,2279.605455,2294.72,0.19632414,111.8853972,4.0,-3.32657031,-0.02973194,13,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-03T17:00:00,2026-02-03T19:45:00,75585.53138,74935.0,0.00589873,111.46472677,4.0,3.48215905,0.03124001,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-04T09:15:00,2026-02-04T12:45:00,76043.62321,76180.85,0.00588405,111.86118463,4.0,-1.16572853,-0.01042121,14,STOP_MACD,EMA_MACD,False
